md,cv,nm,kg,sc,eu,co
ALFA-ROMEO MITO,-170,-250,1145,423,25890,124
AUDI S1,-231,-370,1315,308,35590,166
ABARTH 595,-145,-206,1035,428,18600,139
FORD FIESTA,-140,-210,1128,540,18800,104
FORD FIESTA ST,-182,-240,1163,369,24950,138
MINI COOPER-S,-192,-280,1160,368,25600,136
MINI JOHN-COOPER-WORKS,-231,-320,1205,363,32550,155
OPEL ADAM S ,-150,-220,1103,485,19000,139
OPEL CORSA ,-207,-280,1218,368,23900,174
PEUGEOT 208 GTI,-208,-300,1160,365,26000,125
RENAULT CLIO,-200,-240,1204,367,22870,139
SEAT IBIZA CUPRA,-192,-320,1269,367,22870,139
SUZUKI SWIFT,-136,-160,1040,487,15680,147
VOLKSWAGEN POLO BLUEGT,-150,-250,1212,429,23620,110
VOLKSWAGEN POLO GTI,-192,-320,1269,367,26900,139
ALFA ROMEO GIULIETTA,-240,-340,1320,360,35600,162
AUDI S3,-310,-380,1425,302,50000,162
AUDI RS3,-367,-465,1425,243,57900,189
BMW M1401,-340,-500,1450,248,45600,179
FORD FOCUS ST,-250,-360,1362,365,29200,159
FORD FOCUS RS,-350,-440,1524,247,39600,175
KIA PROCEED,-204,-265,1359,427,29290,170
MERCEDES A45,-381,-475,1480,242,55350,162
MINI CLUBMAN,-192,-280,1360,422,29800,147
PEUGEOT 308 GT,-205,-285,1200,425,31350,130
PEUGEOT 308 GTI,-270,-330,1205,360,37700,139
RENAULT MEGANE 4 GT,-205,-280,1392,421,32200,134
SEAT LEON FR,-184,-380,1295,425,29720,113
SEAT LEON CUPRA,-300,-380,1375,307,35000,149
VOLKSWAGEN GOLF GTD,-184,-380,1475,429,36570,115
VOLKSWAGEN GOLF GTE,-204,-350,1524,426,38990,35
VOLKSWAGEN GOLF GTI,-245,-380,1307,364,34530,147
VOLKSWAGEN GOLF R,-310,-380,1401,301,43980,180
ASTON MARTIN ,-470,-600,1990,303,181000,190
AUDI S4,-333,-440,1780,300,62740,190
BMW M5,-560,-680,1875,243,117100,232
CADILLAC,-564,-747,1742,241,68127,365
MERCEDES C63 AMG,-457,-600,1730,244,89300,280
MITSUBISHI LANCER,-295,-366,1600,366,52850,250
OPEL INSIGNIA OPC,-325,-435,1750,360,45350,249
PORSCHE PANAMERA,-430,-520,1920,245,119575,256
SUBARU WRX,-300,-407,1507,302,44950,242
